movieId,rating,count,imdbId,tmdbId
1,3.894,57309,114709,862.0
2,3.252,24228,113497,8844.0
3,3.142,11804,113228,15602.0
4,2.854,2523,114885,31357.0
5,3.058,11714,113041,11862.0
6,3.855,24588,113277,949.0
7,3.364,12132,114319,11860.0
8,3.115,1344,112302,45325.0
9,2.992,3711,114576,9091.0
10,3.421,28265,113189,710.0
11,3.657,17042,112346,9087.0
12,2.625,3741,112896,12110.0
13,3.334,1715,112453,21032.0
14,3.423,5509,113987,10858.0
15,2.719,2760,112760,1408.0
16,3.824,18404,112641,524.0
17,3.949,19729,114388,4584.0
18,3.384,5374,113101,5.0
19,2.642,21552,112281,9273.0
20,2.87,3840,113845,11517.0
21,3.57,22277,113161,8012.0
22,3.32,9237,112722,1710.0
23,3.146,4108,112401,9691.0
24,3.188,7450,114168,12665.0
25,3.677,20070,113627,451.0
26,3.607,2549,114057,16420.0
27,3.404,1577,114011,9263.0
28,4.03,2950,114117,17015.0
29,3.937,8305,112682,902.0
30,3.637,1166,115012,37557.0
31,3.245,9106,112792,9909.0
32,3.906,47054,114746,63.0
33,3.023,65,114952,78802.0
34,3.603,31456,112431,9598.0
35,3.479,1352,112637,47018.0
36,3.919,19388,112818,687.0
37,2.993,75,112286,139405.0
38,2.871,631,113442,33689.0
39,3.419,26230,112697,9603.0
40,3.627,797,112749,34615.0
41,3.843,4266,114279,31174.0
42,3.05,2300,112819,11443.0
43,3.45,2308,114272,35196.0
44,2.655,10629,113855,9312.0
45,3.383,8267,114681,577.0
46,3.263,2889,113347,11861.0
47,4.079,50596,114369,807.0
48,2.978,13461,114148,10530.0
49,3.52,228,114916,8391.0
50,4.284,55366,114814,629.0
51,2.607,28,109950,117164.0
52,3.533,8543,113819,11448.0
53,3.65,137,110299,49133.0
54,2.841,919,112499,26441.0
55,3.22,851,113158,97406.0
56,1.915,65,113541,124057.0
57,3.32,2236,113321,9089.0
58,3.968,10483,110877,11010.0
59,3.564,181,112714,99040.0
60,3.096,5960,113419,11359.0
61,3.316,2088,116260,17182.0
62,3.715,18242,113862,2054.0
63,3.084,2336,116126,10607.0
64,2.814,1884,118002,19760.0
65,2.37,4663,115683,9536.0
66,2.138,2215,116839,11525.0
67,3.298,163,114753,40628.0
68,3.43,1124,113149,4482.0
69,3.558,4278,113118,10634.0
70,3.327,14118,116367,755.0
71,2.346,1202,113010,11859.0
72,3.487,1179,113537,28387.0
73,3.796,2699,113828,48750.0
74,3.288,3235,115644,20927.0
75,2.43,526,115676,36929.0
76,3.01,3235,114367,9102.0
77,3.403,211,113973,124626.0
78,3.153,1129,112744,27526.0
79,3.12,5061,116731,9623.0
80,3.75,515,112445,46785.0
81,3.253,3007,114660,400.0
82,3.992,2288,112379,880.0
83,3.644,537,114039,146599.0
84,3.358,141,113612,188588.0
85,3.527,2441,112365,8447.0
86,3.477,3921,118158,10534.0
87,2.35,938,116151,17414.0
88,3.107,4730,115697,13997.0
89,3.129,3095,113972,2086.0
90,3.333,201,113490,61548.0
92,2.85,2114,117002,9095.0
93,2.492,1936,114825,12158.0
94,3.528,3760,115639,9283.0
95,3.077,20642,115759,9208.0
96,3.7,444,113403,40154.0
97,3.986,2615,113247,406.0
98,2.596,83,111173,45549.0
99,3.101,668,113283,63076.0
100,3.221,3770,115907,11062.0
101,3.767,4438,115734,13685.0
102,2.411,1841,117102,47475.0
103,3.255,1046,118040,2045.0
104,3.394,19190,116483,9614.0
105,3.333,9006,112579,688.0
106,3.436,125,110251,11907.0
107,3.217,6015,117110,10874.0
